position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1130,1130,Harbin Bank,harbin-bank,harbin-bank,Major Banks,China,3808.0,3368.0,China,,Zhi Guo,,734.2,77562.0,
1131,1131,Alaska Air Group,alaska-air-group,alaska-air-group,Airline,United States,5931.0,11030.0,Washington,Washington,Bradley D. Tilden,,814.0,9962.0,
1132,1132,Cenovus Energy,cenovus-energy,cenovus-energy,Oil & Gas Operations,Canada,9158.0,11228.0,Canada,,Brian C. Ferguson,,-411.3,19258.0,
1133,1133,Apache,apache,apache,Oil & Gas Operations,United States,5340.0,20023.0,Texas,Texas,"John J. Christmann, IV",,-1522.0,22519.0,
1134,1134,Delta Electronics,delta-electronics,delta-electronics,Electronics,Taiwan,6647.0,13911.0,Taiwan,,Chung Chieh Li,,582.9,7295.0,
1135,1135,Electrolux Group,electrolux-group,electrolux-group,Household Appliances,Sweden,14143.0,8041.0,Sweden,,Jonas Samuelson,,524.9,9450.0,
1136,1136,Hyundai Marine & Fire,hyundai-marine-fire,hyundai-marine-fire,Property & Casualty Insurance,South Korea,10941.0,2414.0,South Korea,,Cheol-Young Lee,,353.3,29786.0,
1137,1137,Korea Gas,korea-gas,korea-gas,Natural Gas Utilities,South Korea,18194.0,3561.0,South Korea,,Seung-Hun Lee,,-581.0,33058.0,
1138,1138,Keppel,keppel,keppel,Conglomerates,Singapore,4902.0,8886.0,Singapore,,"Chin Hua Loh, CFA",,567.8,20259.0,
1139,1139,Wm Morrison Supermarkets,wm-morrison-supermarkets,wm-morrison-supermarkets,Food Retail,United Kingdom,21749.0,6778.0,United Kingdom,,David T. Potts,,406.5,11632.0,
1140,1140,AntarChile,antarchile,antarchile,Investment Services,Chile,16683.0,5347.0,Chile,,Jorge Andueza Fouque,,326.5,21919.0,
1141,1141,SGS,sgs,sgs,Business & Personal Services,Switzerland,6075.0,16430.0,Switzerland,,Frankie Ng,,551.2,5263.0,
1142,1142,Hyundai Engineering,hyundai-engineering,hyundai-engineering,Construction Services,South Korea,16156.0,4853.0,South Korea,,Soo-Hyun Jung,,423.0,16463.0,
1143,1142,Toppan Printing,toppan-printing,toppan-printing,Printing & Publishing,Japan,13219.0,7016.0,Japan,,Naoki Adachi,,349.3,16399.0,
1144,1144,Actelion,actelion,actelion,Pharmaceuticals,Switzerland,2454.0,30474.0,Switzerland,,Jean-Paul Clozel,,706.9,2073.0,
1145,1145,Bank of Baroda,bank-of-baroda,bank-of-baroda,Regional Banks,India,7910.0,6053.0,India,,P. S. Jayakumar,,-774.0,104372.0,
1146,1146,Canadian Tire,canadian-tire,canadian-tire,Specialty Stores,Canada,9571.0,8529.0,Canada,,Stephen G. Wetmore,,505.0,11411.0,
1147,1146,Intuitive Surgical,intuitive-surgical,intuitive-surgical,Medical Equipment & Supplies,United States,2706.0,28172.0,California,California,Gary S. Guthart,,735.9,6487.0,
1148,1148,Punjab National Bank,punjab-national-bank,punjab-national-bank,Regional Banks,India,8825.0,4934.0,India,,Sunil Mehta,,-563.6,107712.0,
1149,1149,Charoen Pokphand Foods,charoen-pokphand-foods,charoen-pokphand-foods,Food Processing,Thailand,13165.0,6269.0,Thailand,,Adirek Sripratak,,416.7,16257.0,
1150,1150,Renesas Electronics,renesas-electronics,renesas-electronics,Semiconductors,Japan,5780.0,16440.0,Japan,,Bunsei Kure,,568.8,7057.0,
1151,1151,JG Summit Holdings,jg-summit-holdings,jg-summit-holdings,Conglomerates,Philippines,4888.0,11593.0,Philippines,,James L. Go,,634.1,13360.0,
1152,1152,Ball,ball,ball,Containers & Packaging,United States,9118.0,12645.0,Colorado,Colorado,John A. Hayes,,225.0,16173.0,
1153,1153,Olympus,olympus,olympus,Consumer Electronics,Japan,6861.0,12811.0,Japan,,Hiroyuki Sasa,,560.4,8556.0,
1154,1154,Sun Art Retail Group,sun-art-retail-group,sun-art-retail-group,Food Retail,Hong Kong,15138.0,9589.0,Hong Kong,,Bruno Robert Mercier,,387.9,8683.0,
1155,1155,BCI-Banco Credito,bci-banco-credito,bci-banco-credito,Major Banks,Chile,3003.0,7429.0,Chile,,Eugenio von Chrismar Carvajal,,503.0,46184.0,
1156,1155,CDW,cdw,cdw,Software & Programming,United States,13982.0,9234.0,Illinois,Illinois,Thomas E. Richards,,424.4,6948.0,
